"id","prozessart","ikw","bundesland","ezg","ereignis_jahr","ereignis_monat","ereignis_Tag","punkt_x","punkt_y","WLK_ID"
513,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Edergraben",1999,7,NA,567024,464846,"102137"
515,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Windbichlbach",1999,7,NA,566618,463974,"112072"
516,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Entzfeldgraben",1999,7,NA,567068,463646,"102136"
519,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Sonnleitgraben",1999,7,NA,565814,463752,"102134"
586,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Zögersbach",1991,5,17,565860,457416,"102051"
555,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Laabgraben",1997,7,7,590680,460212,"102139"
557,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Hallbach",1996,10,22,578117,453300,"102109"
574,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Habernreitgraben",1991,NA,NA,569791,461136,"102062"
576,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Jungherrntalbach",2001,7,1,567883,460276,"102058"
595,"Murartiger Feststofftransport","Mittel","Niederösterreich","Leitnergraben",1997,6,30,584376,459468,"102095"
597,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Ramsaubach",1997,7,7,586071,457011,"102092"
10,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Hochbach",1999,NA,NA,507984,474022,"101658"
51,"Murgang","Gering","Niederösterreich","Hammerbach",1980,NA,NA,510079,429852,"101269"
151,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Grestenberggraben",1982,8,NA,513646,450345,"101677"
152,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Haselgrabenbach",2000,8,NA,519438,452105,"101657"
162,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Reingrubergraben",2002,NA,NA,508971,451588,"101692"
164,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Buchenberggraben",2002,NA,NA,508103,451440,"101693"
165,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Eibenberggraben",2002,NA,NA,510236,450041,"101685"
170,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Lerchbach",2002,NA,NA,508653,453451,"112049"
175,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Reisbachriengraben",2002,NA,NA,507342,453265,"101709"
184,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Tiefenbach",2002,NA,NA,506200,453075,"101711"
186,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Waldhofgraben",2002,NA,NA,510078,450577,"101686"
195,"Murgang","Gering","Niederösterreich","Pechtaschengraben",2002,3,21,530986,449527,"101839"
196,"Murgang","Gering","Niederösterreich","Pechtaschengraben",2002,5,13,530986,449527,"101839"
201,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Mendlingbach",1996,1,NA,515117,429474,"105581"
230,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Grabnerbach",1984,8,24,524354,457619,"101904"
231,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Grabnerbach",1984,8,26,524354,457619,"101904"
232,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Grabnerbach",1982,7,22,524354,457619,"101904"
233,"Fluviatiler Feststofftransport","Gering","Niederösterreich","Grabnerbach",1991,8,3,524354,457619,"101904"
237,"Murgang","Mittel","Niederösterreich","Schönleitengraben",2000,9,NA,524246,457665,"101907"
238,"Murgang","Gering","Niederösterreich","Bodingbach",1991,12,23,525318,442865,"101266"
308,"Fluviatiler Feststofftransport","Mittel","Niederösterreich","Ewixenbach",1986,4,NA,529990,455734,"101260"
345,"Murgang","Mittel","Niederösterreich","Reifgraben",1991,7,28,539036,452190,"101856"
